Depth.m,Gamma.gAPI,Perm.mD,Porosity.m3/m3,Resistivity.ohm.m,Lithology
1733.4171,86.45690155,0.002677715,0.00219602,5.057415962,1
1733.9171,89.63299561,0.003616558,0.00215734,9.593343735,1
1734.4171,94.43976593,0.002752915,0.00210919,5.841589928,1
1734.9171,99.57064056,0.001531032,0.00212229,1.782370925,0
1735.4171,91.73580933,0.001939575,0.00221071,2.614829302,1
1735.9171,81.32406616,0.002672162,0.00223729,4.834332943,0
1736.4171,86.2513504,0.002083657,0.00217476,3.128581524,1
1736.9171,94.22722626,0.001232588,0.00213548,1.139582515,1
1737.4171,94.35731506,0.000849169,0.00214178,0.53738302,1
1737.9171,92.9280777,0.000558695,0.00217087,0.225816131,1
1738.4171,88.35301971,0.000626778,0.00221824,0.271024317,1
1738.9171,83.15273285,0.000766123,0.00224038,0.396176785,1
1739.4171,83.78325653,0.001073328,0.00222865,0.786634445,1
1739.9171,85.57262421,0.001413896,0.00220948,1.391222239,1
1740.4171,87.73963928,0.001399407,0.00218811,1.392309427,1
1740.9171,89.98171997,0.001314352,0.00217664,1.242488861,0
1741.4171,90.10904694,0.001249058,0.00217744,1.121201754,0
1741.9171,89.81607056,0.001187692,0.00219656,0.994427145,0
1742.4171,86.16477966,0.001486124,0.00223518,1.498381257,1
1742.9171,81.84603882,0.001856063,0.00224079,2.32435751,1
1743.4171,85.00421143,0.001354638,0.00220299,1.285342574,1
1743.9171,89.64840698,0.000680031,0.00217909,0.331781119,1
1744.4171,89.93532562,0.00106149,0.00218051,0.807241738,0
1744.9171,89.35623932,0.001652839,0.0021596,1.999123693,1
1745.4171,94.25177765,0.001233129,0.00210688,1.17492342,0
1745.9171,100.2353897,0.000612474,0.00210592,0.290136963,0
1746.4171,94.44841766,0.000651876,0.00217334,0.306654275,0
1746.9171,86.32206726,0.000822463,0.00223901,0.457202822,1
1747.4171,80.89833832,0.001552922,0.00224444,1.621293664,1
1747.9171,76.01174164,0.002394654,0.00225332,3.821864843,0
1748.4171,77.23916626,0.002121945,0.00228007,2.924031973,1
1748.9171,79.68173218,0.001627743,0.00226917,1.738857627,1
1749.4171,81.31325531,0.002404864,0.00225413,3.851477623,1
1749.9171,82.78357697,0.003434657,0.00226139,7.800829887,1
1750.4171,79.81699371,0.003540875,0.00220506,8.763876915,1
1750.9171,75.96858215,0.003463534,0.00218794,8.53023243,2
1751.4171,79.68544769,0.002731204,0.00223399,5.066750526,1
1751.9171,84.90590668,0.001868697,0.00223736,2.364061832,1
1752.4171,82.65333557,0.001533085,0.00226639,1.54666543,1
1752.9171,78.91551209,0.001302193,0.00226061,1.122159004,1
1753.4171,83.84573364,0.001046001,0.00220448,0.765227497,1
1753.9171,90.49869537,0.000784781,0.00217083,0.445573926,0
1754.4171,90.78918457,0.001270734,0.00217414,1.164331675,0
1754.9171,89.8151474,0.001905186,0.0022102,2.524208307,0
1755.4171,83.34783173,0.001962587,0.00233918,2.364382267,1
1755.9171,75.78874207,0.001905299,0.00237966,2.145821095,0
1756.4171,77.49669647,0.001510068,0.00229318,1.462274194,1
1756.9171,81.04645538,0.001047671,0.00225917,0.727380812,1
1757.4171,82.01286316,0.001129372,0.00225229,0.850943208,1
1757.9171,82.4658432,0.001319212,0.002237,1.178592801,1
1758.4171,85.16845703,0.001119806,0.00220865,0.873386741,1
1758.9171,88.31817627,0.000843039,0.00214986,0.525282502,1
1759.4171,97.29957581,0.000716745,0.00205719,0.418335736,0
1759.9171,107.4400024,0.000620356,0.00206249,0.311616123,0
1760.4171,96.2074585,0.001263858,0.00219194,1.13128829,1
1760.9171,80.7270813,0.002054411,0.00226775,2.773735762,0
1761.4171,80.56275177,0.001689631,0.00225459,1.900356174,0
1761.9171,83.44245148,0.001095231,0.00223507,0.813899994,1
1762.4171,84.58907318,0.001276504,0.00222563,1.115957379,1
1762.9171,85.39124298,0.001611939,0.0021924,1.839388728,1
1763.4171,91.44755554,0.001390078,0.00212864,1.459665895,1
1763.9171,98.54811859,0.001057456,0.00210091,0.869417369,0
1764.4171,97.17043304,0.001071011,0.00212243,0.872075617,0
1764.9171,94.10771179,0.001153367,0.00213222,1.001162648,1
1765.4171,95.15101624,0.000841571,0.00211815,0.540850282,1
1765.9171,97.01039124,0.000451439,0.00212384,0.154714048,0
