Depth.m,Gamma.gAPI,Perm.mD,Porosity.m3/m3,Resistivity.ohm.m,Lithology
1804.1009,68.75579834,0.001704815,0.00224953,1.944252491,0
1804.6009,66.49945831,0.00138015,0.00212537,1.443764806,0
1805.1009,64.8666687,0.001081693,0.00213846,0.874954939,0
1805.6009,65.70160675,0.000886959,0.00226923,0.516266942,0
1806.1009,67.38528442,0.000720645,0.00226207,0.343185395,0
1806.6009,72.42784882,0.000666801,0.00221279,0.30840686,1
1807.1009,77.61457062,0.000600589,0.00216008,0.263828218,1
1807.6009,83.37181854,0.000485429,0.00210955,0.181566015,0
1808.1009,88.10290527,0.000373036,0.00208353,0.110190027,0
1808.6009,88.77290344,0.000271591,0.00208135,0.058542699,0
1809.1009,88.55535889,0.000192248,0.00210037,0.028752431,0
1809.6009,84.82530212,0.000200374,0.00213685,0.030073054,0
1810.1009,80.98184967,0.00021027,0.00217604,0.031819135,1
1810.6009,76.68965912,0.000227178,0.00221322,0.035783138,1
1811.1009,73.26465607,0.000242991,0.00222969,0.040275708,1
1811.6009,73.2715683,0.000254472,0.00222548,0.044355564,1
1812.1009,74.13858032,0.000263294,0.00220073,0.04866695,1
1812.6009,78.40945435,0.000261591,0.00216078,0.050015334,1
1813.1009,82.42974854,0.000255399,0.00212682,0.049366158,0
1813.6009,85.45836639,0.000231436,0.00210207,0.041594688,0
1814.1009,87.56765747,0.000252969,0.00209928,0.049840126,0
1814.6009,86.03869629,0.000454551,0.00211765,0.15786472,0
1815.1009,83.75411987,0.000731116,0.00215406,0.39337337,0
1815.6009,78.47924805,0.001304428,0.00220267,1.192206025,1
1816.1009,73.66461182,0.001840092,0.00224029,2.285650015,1
1816.6009,70.67133331,0.002226763,0.00226312,3.273340225,1
1817.1009,68.92523956,0.00249182,0.00225616,4.126858234,2
1817.6009,72.11487579,0.002275591,0.00222451,3.550361872,1
1818.1009,75.49410248,0.002002511,0.00218834,2.850344896,1
1818.6009,79.62368012,0.001504447,0.00215089,1.671065807,1
1819.1009,83.26850891,0.00107894,0.00212502,0.882664383,0
1819.6009,84.99489594,0.000940582,0.00211209,0.67986995,0
1820.1009,85.95187378,0.000864099,0.00211754,0.570554614,0
1820.6009,83.86389923,0.001032485,0.002139,0.796717048,0
1821.1009,81.49810791,0.00114803,0.00216709,0.95714283,0
1821.6009,78.03284454,0.001054448,0.00220006,0.781077504,1
1822.1009,74.65213776,0.000942572,0.00223102,0.605231047,1
1822.6009,71.60608673,0.000758296,0.00225917,0.381056517,1
1823.1009,68.80810547,0.000600192,0.00229665,0.230235592,0
1823.6009,66.99185181,0.00054567,0.00237023,0.177549899,0
1824.1009,66.06011963,0.000501933,0.0023471,0.153504968,0
1824.6009,68.62890625,0.000500884,0.00226154,0.165876776,0
1825.1009,71.29411316,0.000507564,0.00223403,0.17497918,1
1825.6009,74.34088898,0.000544831,0.00220781,0.20692274,1
1826.1009,76.73701477,0.000655244,0.00219712,0.302501708,1
1826.6009,76.55818176,0.001055133,0.00220236,0.780297101,1
1827.1009,75.65016174,0.001478221,0.002225,1.497451425,1
1827.6009,71.85636139,0.001993121,0.00227177,2.600552082,1
1828.1009,67.91352844,0.002518318,0.0023862,3.726199627,2
1828.6009,63.38087463,0.003084269,0.00255936,4.790883541,2
1829.1009,59.41358566,0.003826548,0.00249792,7.779319763,2
1829.6009,57.68371964,0.005266644,0.00234118,16.99461174,2
1830.1009,56.09256744,0.006599033,0.00243926,24.37770081,2
1830.6009,55.05036545,0.007505173,0.0025139,29.50908852,2
1831.1009,54.29571533,0.008163174,0.00250408,35.21211243,2
1831.6009,54.67903137,0.007839153,0.00233444,37.8910141,2
1832.1009,55.26495361,0.007226436,0.00225616,34.70840454,2
1832.6009,56.65267181,0.005471206,0.00237943,17.6980629,2
1833.1009,58.09578323,0.003784341,0.00231428,9.000477791,2
1833.6009,59.75812149,0.002368035,0.00242118,3.190926075,2
1834.1009,61.77746201,0.001179968,0.00255581,0.70336014,0
1834.6009,65.20966339,0.000895159,0.00239239,0.468133509,0
1835.1009,68.39933014,0.00063951,0.00226585,0.269268602,0
1835.6009,70.62917328,0.000499262,0.00224489,0.167505324,1
1836.1009,72.75040436,0.000410581,0.00222653,0.115349367,1
1836.6009,74.44179535,0.000525973,0.00221384,0.191692665,1
1837.1009,75.38395691,0.000703311,0.00221904,0.340982139,1
1837.6009,73.36100006,0.0011258,0.00223837,0.857180417,1
1838.1009,71.37084198,0.001557869,0.00225692,1.611856103,1
1838.6009,69.51046753,0.002027852,0.00227202,2.691322565,1
1839.1009,68.23564148,0.0024015,0.00227314,3.770400524,2
1839.6009,69.27815247,0.002393898,0.00226001,3.794620514,1
1840.1009,70.96252441,0.002295498,0.00223155,3.587724686,1
1840.6009,75.18703461,0.001837765,0.00219114,2.393898249,1
1841.1009,79.34981537,0.001385659,0.00215221,1.415683985,1
1841.6009,83.26831055,0.00095582,0.00211789,0.697853625,0
1842.1009,86.47473145,0.000622264,0.00210058,0.301164329,0
1842.6009,86.86312866,0.000669754,0.00209838,0.349692047,0
1843.1009,86.92821503,0.00071104,0.00210392,0.39185375,0
1843.6009,85.71381378,0.000727775,0.00211505,0.405777931,0
1844.1009,84.61792755,0.000732583,0.00212335,0.40762949,0
1844.6009,83.99103546,0.000690191,0.00212868,0.359829068,0
1845.1009,83.51119232,0.000638409,0.0021305,0.307282925,0
1845.6009,83.61332703,0.00054946,0.0021296,0.227832794,0
